Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default,LoanID,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
24.0,22516.0,85023.0,465.0,22.0,2.0,18.97,36.0,0.85,1.0,PCBQUTLUYE,Master's,Self-employed,Single,Yes,Yes,Home,Yes
32.0,32006.0,106603.0,365.0,54.0,2.0,14.29,12.0,0.2,1.0,1FY5T69BS5,Master's,Full-time,Married,No,No,Business,Yes
55.0,73591.0,10648.0,441.0,49.0,2.0,4.18,60.0,0.86,0.0,Q2G5TCETMF,PhD,Unemployed,Divorced,Yes,No,Home,Yes
22.0,29982.0,187397.0,793.0,45.0,1.0,10.53,60.0,0.9,0.0,JVMA7GRPR6,PhD,Part-time,Married,Yes,No,Home,Yes
33.0,103989.0,180658.0,625.0,80.0,4.0,12.47,36.0,0.36,0.0,B7O623E90R,Bachelor's,Full-time,Divorced,No,Yes,Other,No
32.0,79524.0,246196.0,448.0,21.0,2.0,7.07,36.0,0.58,0.0,IABOJNLJEE,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No
52.0,120988.0,161762.0,840.0,97.0,2.0,3.14,48.0,0.46,0.0,UZ7EOHYHYR,Master's,Self-employed,Single,No,No,Business,No
25.0,37754.0,184097.0,476.0,106.0,4.0,9.08,12.0,0.51,0.0,3V966N2FR0,Master's,Unemployed,Single,Yes,Yes,Auto,No
33.0,78634.0,175622.0,345.0,58.0,4.0,8.76,60.0,0.29,0.0,BKDMC4RW2P,High School,Unemployed,Divorced,Yes,Yes,Auto,No
40.0,83226.0,183095.0,708.0,114.0,3.0,14.24,12.0,0.49,0.0,MFNJUBFPGI,High School,Full-time,Divorced,Yes,Yes,Home,Yes
54.0,110006.0,92253.0,705.0,26.0,2.0,10.94,48.0,0.2,0.0,TIXVFUDFZF,High School,Part-time,Divorced,Yes,No,Auto,No
67.0,38101.0,105408.0,429.0,83.0,3.0,23.96,48.0,0.16,0.0,IC8YR6EQSV,PhD,Unemployed,Married,Yes,Yes,Home,Yes
53.0,85373.0,196349.0,391.0,20.0,4.0,9.73,24.0,0.35,0.0,FMCQFEJQV0,Master's,Full-time,Married,No,Yes,Education,No
19.0,108638.0,67105.0,692.0,99.0,3.0,24.29,48.0,0.12,0.0,PI0FSUBRFP,PhD,Unemployed,Single,No,Yes,Other,Yes
36.0,21680.0,18458.0,496.0,12.0,2.0,7.74,60.0,0.72,0.0,TQ7JQWA3C8,High School,Part-time,Divorced,Yes,No,Education,No
40.0,45104.0,112799.0,814.0,18.0,3.0,20.29,60.0,0.23,0.0,6GV72BFOEZ,Bachelor's,Unemployed,Divorced,Yes,No,Other,Yes
48.0,108098.0,94763.0,340.0,2.0,3.0,15.57,12.0,0.45,0.0,MAMTHTA4PG,Master's,Self-employed,Single,No,No,Business,No
50.0,19036.0,50041.0,314.0,82.0,3.0,4.61,36.0,0.17,0.0,6P1NK4GO6A,High School,Self-employed,Single,No,No,Home,Yes
62.0,75411.0,16782.0,680.0,72.0,4.0,18.83,36.0,0.61,0.0,YVFCHCX4VR,Bachelor's,Part-time,Divorced,No,No,Other,Yes
26.0,78045.0,73154.0,548.0,27.0,3.0,14.71,12.0,0.39,1.0,KONNNNYZT5,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes
43.0,113749.0,218885.0,672.0,73.0,2.0,19.58,60.0,0.76,0.0,DUQYT30XGY,PhD,Full-time,Divorced,No,Yes,Business,Yes
18.0,99592.0,147275.0,770.0,59.0,1.0,13.62,12.0,0.76,1.0,QQ1UCTRCA7,Bachelor's,Self-employed,Single,Yes,Yes,Auto,Yes
18.0,107942.0,73701.0,579.0,95.0,3.0,22.16,60.0,0.13,0.0,FOJ5WQZRPA,PhD,Self-employed,Married,No,No,Home,Yes
22.0,134061.0,197051.0,442.0,110.0,3.0,14.17,12.0,0.35,0.0,EOK54F4YX9,Bachelor's,Full-time,Divorced,No,No,Other,Yes
63.0,61870.0,212542.0,847.0,71.0,2.0,16.01,60.0,0.52,0.0,W3B4FU118U,Master's,Full-time,Divorced,Yes,Yes,Education,No
43.0,115510.0,147837.0,727.0,111.0,4.0,18.93,60.0,0.25,0.0,K3HJYY8GS1,High School,Part-time,Married,No,No,Business,No
29.0,113545.0,153627.0,616.0,9.0,2.0,24.4,12.0,0.88,1.0,ILMQHHC8JT,Bachelor's,Self-employed,Married,Yes,No,Other,No
42.0,61385.0,111903.0,615.0,67.0,2.0,23.3,60.0,0.88,0.0,K1KPVPIU98,Bachelor's,Full-time,Single,Yes,No,Education,No
60.0,83455.0,185112.0,517.0,45.0,3.0,7.09,36.0,0.41,0.0,7DP8NKUOYA,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No
28.0,59630.0,223163.0,315.0,32.0,4.0,23.36,48.0,0.19,0.0,M1N4IE0TCO,High School,Self-employed,Divorced,No,Yes,Home,Yes
25.0,71011.0,136471.0,810.0,82.0,3.0,7.63,24.0,0.61,0.0,8B7B7OC11B,PhD,Part-time,Divorced,No,No,Education,No
33.0,108660.0,86835.0,301.0,97.0,2.0,8.06,24.0,0.3,0.0,ENBRYTRCI3,PhD,Self-employed,Single,Yes,Yes,Home,Yes
45.0,115761.0,196490.0,579.0,117.0,1.0,4.93,24.0,0.78,1.0,KN54CJLNAN,Bachelor's,Unemployed,Divorced,No,No,Auto,No
59.0,94419.0,33892.0,760.0,106.0,2.0,18.68,60.0,0.63,0.0,BEF7K3PQAU,PhD,Self-employed,Married,Yes,No,Other,Yes
61.0,22108.0,111752.0,660.0,119.0,1.0,6.23,12.0,0.32,0.0,IL27RMJBWZ,PhD,Part-time,Divorced,Yes,No,Education,Yes
57.0,89938.0,45165.0,752.0,101.0,1.0,19.35,48.0,0.71,0.0,7ML2V21VWP,High School,Unemployed,Married,No,Yes,Home,No
68.0,69537.0,239753.0,447.0,51.0,2.0,19.43,60.0,0.38,0.0,VN7EZDBHS0,High School,Part-time,Divorced,No,No,Home,No
46.0,67705.0,159522.0,598.0,88.0,3.0,4.55,36.0,0.22,0.0,NM2TD3S119,PhD,Self-employed,Single,Yes,No,Home,Yes
25.0,16214.0,127129.0,626.0,100.0,1.0,20.6,60.0,0.48,0.0,4PGIJAWU96,PhD,Self-employed,Single,Yes,Yes,Auto,No
55.0,117134.0,204619.0,758.0,1.0,2.0,22.52,48.0,0.2,0.0,9NESBMVS5W,Master's,Self-employed,Married,No,No,Education,No
37.0,127434.0,41669.0,783.0,62.0,1.0,18.33,60.0,0.84,0.0,YE6GGQ2LFN,High School,Full-time,Married,No,No,Other,Yes
44.0,78831.0,179832.0,383.0,105.0,2.0,18.0,60.0,0.45,1.0,0LJNMOWQ92,PhD,Full-time,Single,Yes,No,Business,No
51.0,46601.0,23531.0,682.0,7.0,3.0,13.14,12.0,0.43,0.0,7PM1B68U09,High School,Unemployed,Married,No,No,Auto,No
56.0,116558.0,242567.0,654.0,7.0,3.0,6.67,48.0,0.72,0.0,Q3HAXGQWET,PhD,Full-time,Married,No,Yes,Business,Yes
33.0,79536.0,7792.0,686.0,14.0,4.0,12.48,36.0,0.66,0.0,0DA8WME39K,Bachelor's,Self-employed,Married,No,No,Auto,No
27.0,70816.0,163667.0,497.0,118.0,1.0,22.62,60.0,0.29,0.0,SWE0KBYVWC,Bachelor's,Part-time,Single,Yes,No,Education,Yes
60.0,22058.0,154208.0,632.0,115.0,3.0,15.32,12.0,0.81,0.0,2QT90PJDTW,Bachelor's,Part-time,Married,No,No,Other,Yes
18.0,143016.0,229767.0,556.0,53.0,4.0,12.51,36.0,0.64,0.0,FXWKBJTIHO,High School,Full-time,Single,Yes,Yes,Auto,Yes
31.0,140222.0,10870.0,547.0,75.0,4.0,14.02,36.0,0.69,0.0,QUM5HMXU1Q,Master's,Self-employed,Married,Yes,Yes,Business,Yes
68.0,104728.0,105341.0,795.0,70.0,4.0,19.38,48.0,0.3,0.0,EB9LZ99KU4,PhD,Self-employed,Married,No,Yes,Education,Yes
29.0,70510.0,63388.0,727.0,63.0,1.0,10.86,48.0,0.52,0.0,C1I7HT5WL5,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes
26.0,50399.0,113060.0,777.0,110.0,3.0,10.63,12.0,0.52,0.0,PJ47Y3L12J,Master's,Self-employed,Married,No,No,Other,Yes
50.0,39579.0,137941.0,312.0,84.0,4.0,2.84,60.0,0.87,0.0,MJPARGT6P5,Master's,Full-time,Married,Yes,Yes,Auto,Yes
37.0,83305.0,133297.0,740.0,105.0,1.0,7.64,48.0,0.38,0.0,ETDSK7N89E,Master's,Self-employed,Divorced,Yes,No,Education,Yes
21.0,55509.0,136427.0,717.0,49.0,3.0,23.11,60.0,0.16,1.0,5GEL3VWF1D,Bachelor's,Self-employed,Married,No,No,Business,Yes
28.0,90840.0,125070.0,516.0,78.0,1.0,9.42,36.0,0.8,0.0,2GDXEWQSHP,Bachelor's,Self-employed,Married,Yes,No,Business,Yes
43.0,77270.0,87060.0,550.0,7.0,3.0,11.21,60.0,0.48,1.0,Q7X8EROP25,High School,Unemployed,Single,No,No,Other,No
48.0,104714.0,246442.0,379.0,15.0,3.0,21.05,60.0,0.14,0.0,7054JSKIB8,Master's,Self-employed,Single,No,Yes,Home,Yes
34.0,46470.0,140901.0,538.0,106.0,3.0,5.74,48.0,0.17,0.0,HWCU743U9N,Bachelor's,Full-time,Single,No,Yes,Business,Yes
36.0,98008.0,11583.0,699.0,96.0,4.0,15.24,48.0,0.52,0.0,EW4UI75WZ0,High School,Full-time,Divorced,No,Yes,Business,Yes
25.0,54429.0,152707.0,330.0,62.0,3.0,17.23,12.0,0.24,0.0,IR2K0FNWD9,Master's,Unemployed,Married,No,Yes,Education,No
24.0,137898.0,173947.0,733.0,110.0,4.0,8.02,36.0,0.79,0.0,TMNFO7CGPD,High School,Part-time,Single,No,Yes,Home,No
27.0,146414.0,19612.0,787.0,4.0,2.0,24.22,12.0,0.65,0.0,6E9QT5E36X,PhD,Full-time,Divorced,No,Yes,Other,Yes
58.0,44534.0,63946.0,747.0,94.0,1.0,3.71,24.0,0.14,0.0,YXO2R7P18G,Master's,Part-time,Single,No,Yes,Business,No
66.0,73662.0,123044.0,770.0,91.0,4.0,7.95,24.0,0.78,0.0,SYVXJW7ARY,Master's,Unemployed,Single,No,No,Business,No
23.0,21012.0,35337.0,778.0,103.0,1.0,11.26,24.0,0.55,0.0,HNH6Q85126,High School,Self-employed,Single,Yes,Yes,Business,Yes
45.0,94393.0,36419.0,472.0,79.0,2.0,8.76,48.0,0.34,0.0,8NYD23B256,Bachelor's,Part-time,Single,No,Yes,Business,No
58.0,102463.0,21362.0,508.0,1.0,2.0,23.83,36.0,0.59,0.0,2SHB8C2K7Y,Bachelor's,Part-time,Single,Yes,No,Education,No
52.0,100606.0,200274.0,650.0,84.0,1.0,23.26,48.0,0.2,0.0,UZ1Z0R72P6,High School,Self-employed,Married,No,Yes,Other,Yes
51.0,37129.0,151385.0,703.0,94.0,1.0,13.22,60.0,0.3,0.0,3U7GS44DJI,Master's,Unemployed,Single,No,Yes,Education,Yes
57.0,22978.0,193897.0,578.0,102.0,2.0,8.5,48.0,0.41,1.0,AKTY9AUJGJ,PhD,Part-time,Married,No,Yes,Home,No
31.0,88685.0,136453.0,717.0,15.0,2.0,15.14,36.0,0.27,0.0,HMR41WOEBP,Master's,Self-employed,Divorced,No,Yes,Education,Yes
66.0,23937.0,5847.0,745.0,4.0,4.0,17.3,60.0,0.4,0.0,I380CPNI11,Master's,Part-time,Married,No,Yes,Auto,No
47.0,60207.0,22420.0,604.0,33.0,3.0,23.14,24.0,0.87,0.0,D5I5FAKAHZ,High School,Self-employed,Single,Yes,No,Auto,No
31.0,115263.0,133963.0,807.0,104.0,2.0,24.94,24.0,0.65,1.0,5YB31LFCMF,High School,Full-time,Single,Yes,No,Business,No
25.0,52661.0,152393.0,785.0,40.0,4.0,14.63,36.0,0.62,0.0,CHYPYX2SET,PhD,Self-employed,Divorced,Yes,Yes,Other,No
22.0,111189.0,72929.0,621.0,112.0,4.0,11.93,24.0,0.66,0.0,AUFSU2AQWG,High School,Part-time,Married,Yes,Yes,Business,Yes
57.0,48396.0,100409.0,668.0,19.0,1.0,8.21,48.0,0.4,0.0,2WVH1WZ44N,Bachelor's,Full-time,Divorced,No,No,Auto,Yes
29.0,84134.0,161516.0,634.0,73.0,2.0,24.13,48.0,0.83,0.0,D7E6HTW7SW,PhD,Full-time,Single,No,Yes,Home,No
19.0,127203.0,205346.0,451.0,25.0,1.0,18.7,24.0,0.58,1.0,8NZ8R5PAKD,High School,Unemployed,Divorced,Yes,Yes,Other,No
67.0,145629.0,55120.0,379.0,30.0,3.0,21.69,36.0,0.27,0.0,3NPY0LXTJZ,Master's,Full-time,Single,Yes,Yes,Education,Yes
43.0,45223.0,15624.0,788.0,85.0,2.0,13.38,12.0,0.83,0.0,IGEAASJSZ1,PhD,Self-employed,Single,Yes,No,Other,No
43.0,66553.0,10577.0,731.0,79.0,3.0,19.44,12.0,0.83,0.0,53EUQB75CZ,High School,Unemployed,Single,Yes,No,Home,No
56.0,148865.0,26907.0,578.0,24.0,3.0,6.79,12.0,0.23,0.0,FW6L2MXFEW,Master's,Unemployed,Divorced,No,No,Business,No
39.0,38954.0,107236.0,706.0,99.0,4.0,3.2,48.0,0.12,0.0,9NBAIA5CDA,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes
64.0,46927.0,9385.0,740.0,100.0,4.0,9.88,12.0,0.31,0.0,9MQL4N4KYY,Master's,Full-time,Single,Yes,Yes,Home,Yes
32.0,116899.0,221454.0,483.0,14.0,4.0,15.04,36.0,0.52,0.0,7Y06WJYX69,High School,Unemployed,Single,Yes,Yes,Business,Yes
53.0,91814.0,107948.0,475.0,77.0,3.0,12.21,36.0,0.54,0.0,5TZ0WJ3XGT,High School,Unemployed,Divorced,Yes,No,Business,Yes
41.0,62487.0,32705.0,779.0,89.0,2.0,11.1,48.0,0.31,0.0,PSJ2V9630I,Bachelor's,Self-employed,Single,No,No,Home,Yes
36.0,113836.0,20396.0,341.0,105.0,2.0,14.62,12.0,0.79,0.0,78N8UYEE94,Bachelor's,Full-time,Single,Yes,No,Home,No
66.0,21786.0,171969.0,560.0,25.0,1.0,7.94,12.0,0.76,0.0,5M2FSZITAU,PhD,Full-time,Single,Yes,Yes,Education,Yes
30.0,47311.0,94965.0,432.0,69.0,2.0,18.06,60.0,0.61,0.0,KB0NFXSUVE,PhD,Part-time,Single,Yes,No,Other,No
34.0,115895.0,177306.0,783.0,6.0,3.0,23.47,60.0,0.71,0.0,GYZRKIPU8T,Master's,Full-time,Married,Yes,No,Auto,Yes
66.0,121232.0,184878.0,610.0,49.0,4.0,16.37,48.0,0.88,1.0,F2LFAM7IS2,Bachelor's,Self-employed,Single,Yes,No,Home,Yes
50.0,139218.0,126611.0,599.0,54.0,3.0,4.36,48.0,0.69,0.0,8JF8S0Y6OP,Master's,Full-time,Married,Yes,No,Other,Yes
18.0,30856.0,116841.0,393.0,87.0,4.0,12.97,36.0,0.49,0.0,L68HRB9VTL,Master's,Part-time,Married,No,No,Other,Yes
21.0,103895.0,62730.0,737.0,25.0,1.0,15.38,12.0,0.75,0.0,WMFQJX131T,PhD,Self-employed,Single,No,No,Other,No
45.0,69184.0,106880.0,409.0,12.0,1.0,12.02,48.0,0.75,1.0,1105ECOPOW,Bachelor's,Unemployed,Divorced,No,No,Business,Yes
21.0,136064.0,171571.0,314.0,19.0,1.0,20.12,12.0,0.72,0.0,7VXB3WRF8W,High School,Full-time,Divorced,No,Yes,Home,No
24.0,111952.0,150093.0,590.0,52.0,4.0,24.6,12.0,0.67,0.0,PB1KZ24SC9,Bachelor's,Full-time,Divorced,Yes,Yes,Business,Yes
57.0,21103.0,199486.0,527.0,59.0,3.0,8.87,48.0,0.38,1.0,HCC3ZPQI79,High School,Full-time,Divorced,Yes,No,Auto,No
46.0,40655.0,63016.0,613.0,49.0,3.0,22.49,24.0,0.31,0.0,OGN6QMZ5UG,Master's,Part-time,Single,No,No,Business,No
63.0,112633.0,68635.0,668.0,67.0,4.0,16.83,24.0,0.73,0.0,HKU0JO3VWH,Bachelor's,Part-time,Divorced,No,No,Home,No
55.0,34643.0,112952.0,461.0,37.0,1.0,3.95,48.0,0.43,0.0,PYY1UHJ442,Bachelor's,Part-time,Married,Yes,No,Business,No
23.0,20398.0,30314.0,313.0,62.0,4.0,19.07,36.0,0.15,0.0,THNZT49EZU,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes
36.0,134133.0,27895.0,562.0,52.0,2.0,19.73,48.0,0.62,0.0,3IN3ILUNKM,Master's,Full-time,Divorced,No,Yes,Auto,Yes
52.0,24699.0,157653.0,849.0,76.0,3.0,8.46,12.0,0.21,0.0,K81TZOS5JI,PhD,Part-time,Married,Yes,No,Home,Yes
51.0,149597.0,174008.0,778.0,10.0,2.0,9.8,24.0,0.74,0.0,X5A3E9WH59,Master's,Part-time,Divorced,Yes,Yes,Auto,No
58.0,71089.0,241060.0,533.0,78.0,2.0,24.93,60.0,0.59,0.0,QEYQBE8BU4,Bachelor's,Part-time,Married,No,No,Education,Yes
28.0,89145.0,176597.0,322.0,75.0,3.0,17.7,48.0,0.73,0.0,8IT9W806IJ,Bachelor's,Unemployed,Divorced,Yes,Yes,Other,No
20.0,58408.0,74887.0,810.0,24.0,2.0,23.65,36.0,0.57,1.0,78O1QTFH3R,High School,Unemployed,Divorced,Yes,Yes,Other,No
63.0,64746.0,142636.0,725.0,84.0,2.0,9.17,12.0,0.6,0.0,36MPRA2DZW,Bachelor's,Self-employed,Married,Yes,No,Home,Yes
47.0,98275.0,180201.0,385.0,53.0,4.0,3.46,48.0,0.58,0.0,88143H71H2,PhD,Full-time,Married,No,Yes,Business,Yes
35.0,124658.0,168292.0,573.0,69.0,4.0,20.1,12.0,0.32,0.0,J1H9S3JOK8,Bachelor's,Self-employed,Married,No,Yes,Education,Yes
38.0,38917.0,212095.0,317.0,110.0,1.0,13.14,12.0,0.7,1.0,BBYUPT1RGC,Master's,Unemployed,Divorced,No,No,Auto,Yes
59.0,99924.0,59080.0,444.0,96.0,3.0,12.8,48.0,0.76,0.0,EY96BDZU6E,Master's,Full-time,Divorced,Yes,Yes,Home,Yes
31.0,66148.0,189249.0,586.0,46.0,2.0,13.73,60.0,0.45,1.0,N6OJIB6PNL,PhD,Unemployed,Married,No,No,Auto,No
18.0,44042.0,221910.0,799.0,2.0,1.0,17.35,12.0,0.12,0.0,CWHWQ7KK5O,PhD,Self-employed,Married,Yes,Yes,Other,Yes
64.0,123451.0,159583.0,457.0,115.0,3.0,12.4,12.0,0.19,0.0,7RYL4Q6UVC,High School,Self-employed,Single,Yes,Yes,Other,No
51.0,41033.0,80408.0,355.0,36.0,2.0,7.7,60.0,0.21,0.0,43IA7R20BY,Master's,Full-time,Married,Yes,No,Home,Yes
63.0,54340.0,76050.0,323.0,54.0,4.0,17.08,48.0,0.16,0.0,ZHLK94CADF,PhD,Full-time,Married,No,No,Auto,Yes
48.0,45950.0,54734.0,746.0,58.0,1.0,7.06,36.0,0.67,0.0,QX9HKI9QFB,Master's,Part-time,Single,Yes,Yes,Auto,Yes
22.0,52599.0,162267.0,799.0,47.0,4.0,20.81,36.0,0.29,1.0,RTKC34LU9K,Bachelor's,Part-time,Divorced,Yes,No,Education,No
24.0,139801.0,82271.0,304.0,50.0,1.0,20.86,12.0,0.61,0.0,GGH20ENWQV,Bachelor's,Part-time,Married,Yes,Yes,Home,Yes
26.0,25194.0,105392.0,437.0,5.0,1.0,24.87,36.0,0.38,0.0,JHBRW21UYM,Bachelor's,Unemployed,Married,Yes,Yes,Education,No
46.0,127207.0,246236.0,636.0,27.0,2.0,4.78,60.0,0.61,0.0,JUA5SROJLK,Master's,Unemployed,Divorced,Yes,No,Auto,No
69.0,87515.0,115033.0,383.0,38.0,4.0,15.93,36.0,0.82,0.0,T9CVXUOW7I,Bachelor's,Full-time,Divorced,No,No,Business,No
61.0,57677.0,239112.0,776.0,97.0,2.0,13.73,48.0,0.36,0.0,101ATXXOHA,Master's,Unemployed,Single,Yes,No,Auto,Yes
31.0,108124.0,161328.0,645.0,72.0,4.0,11.64,24.0,0.75,0.0,8LE64LNZ9D,PhD,Full-time,Married,Yes,Yes,Home,No
19.0,15108.0,49819.0,469.0,51.0,2.0,2.37,36.0,0.82,0.0,A97X75X8MN,Bachelor's,Self-employed,Divorced,Yes,No,Education,Yes
18.0,53966.0,202734.0,369.0,105.0,2.0,9.26,24.0,0.46,0.0,QMECRZUYMJ,Master's,Self-employed,Single,No,No,Auto,Yes
47.0,131571.0,234005.0,413.0,16.0,4.0,2.09,36.0,0.3,0.0,3I3WZQMVQ2,Bachelor's,Unemployed,Divorced,No,Yes,Home,No
62.0,59930.0,41768.0,333.0,97.0,1.0,14.81,36.0,0.12,0.0,3Y4KZ3S6DZ,Master's,Unemployed,Divorced,No,No,Auto,No
27.0,71041.0,18291.0,489.0,77.0,2.0,15.01,60.0,0.2,0.0,E5E7GY8PNC,Bachelor's,Unemployed,Divorced,No,No,Other,No
51.0,53987.0,72429.0,819.0,106.0,1.0,24.48,48.0,0.5,0.0,DLQ64JP67I,PhD,Part-time,Married,No,No,Other,No
33.0,71837.0,150231.0,721.0,89.0,4.0,3.82,12.0,0.52,0.0,SRXX70AIE4,Bachelor's,Full-time,Married,No,Yes,Education,Yes
22.0,61899.0,118768.0,703.0,73.0,4.0,16.86,24.0,0.17,1.0,WXDBE81P5B,High School,Part-time,Single,No,No,Business,No
39.0,66850.0,162561.0,834.0,58.0,3.0,6.76,12.0,0.29,0.0,CFYO75ABGY,Master's,Full-time,Single,No,No,Auto,Yes
58.0,80763.0,246067.0,557.0,40.0,4.0,19.1,12.0,0.71,0.0,BKKNCITJBK,PhD,Unemployed,Divorced,No,Yes,Business,No
48.0,18111.0,27045.0,426.0,72.0,4.0,13.02,60.0,0.82,0.0,VDF3Z5L3NR,PhD,Self-employed,Single,No,Yes,Home,No
41.0,97134.0,72535.0,423.0,105.0,3.0,24.23,60.0,0.3,0.0,V6W2MW0CC4,PhD,Full-time,Married,No,No,Other,Yes
55.0,30049.0,137787.0,402.0,110.0,4.0,20.0,48.0,0.5,0.0,SV2AAHX8R9,Bachelor's,Unemployed,Single,Yes,No,Education,No
31.0,91796.0,34670.0,825.0,70.0,4.0,19.71,36.0,0.66,0.0,V70QKIPVO3,High School,Part-time,Single,Yes,Yes,Business,Yes
40.0,129354.0,50987.0,700.0,9.0,2.0,3.04,36.0,0.51,0.0,M8WGR8KQ15,Bachelor's,Self-employed,Divorced,No,No,Home,Yes
63.0,147646.0,195498.0,556.0,64.0,4.0,19.49,36.0,0.47,0.0,3YXJAKSG6J,Bachelor's,Full-time,Married,Yes,No,Education,Yes
68.0,99694.0,238257.0,474.0,75.0,2.0,6.15,60.0,0.36,0.0,ZCEET39GRD,PhD,Self-employed,Single,Yes,Yes,Business,Yes
25.0,123387.0,159022.0,542.0,108.0,2.0,3.44,48.0,0.12,0.0,IDAGA41ENK,PhD,Self-employed,Single,Yes,Yes,Education,Yes
60.0,66442.0,116270.0,765.0,13.0,1.0,17.34,48.0,0.42,1.0,XR4SAGWLBR,High School,Unemployed,Divorced,No,Yes,Home,Yes
66.0,105932.0,57328.0,376.0,98.0,2.0,13.33,24.0,0.36,0.0,0JBQQBTB0T,PhD,Self-employed,Married,No,No,Education,No
64.0,67128.0,228783.0,656.0,28.0,3.0,22.91,60.0,0.13,0.0,1JCNZBGFW5,Bachelor's,Full-time,Married,Yes,No,Other,No
53.0,109366.0,47009.0,534.0,78.0,3.0,9.2,24.0,0.55,0.0,0IAHJHC8YE,PhD,Self-employed,Married,Yes,No,Education,No
52.0,103980.0,85253.0,368.0,76.0,1.0,8.4,24.0,0.37,0.0,1MRB36U1KI,PhD,Unemployed,Married,No,No,Auto,No
32.0,144307.0,62445.0,434.0,55.0,1.0,17.26,48.0,0.38,0.0,V4STFI8ZIS,Master's,Unemployed,Divorced,No,No,Home,Yes
64.0,17697.0,158903.0,790.0,94.0,2.0,4.77,60.0,0.61,0.0,KL6FU48LCG,PhD,Self-employed,Married,No,No,Business,Yes
60.0,53794.0,77416.0,490.0,109.0,2.0,5.61,48.0,0.22,0.0,IJX85RU6EF,Bachelor's,Full-time,Single,No,Yes,Education,Yes
55.0,78132.0,56753.0,774.0,119.0,1.0,10.32,12.0,0.52,0.0,N8S4ICWPB3,High School,Unemployed,Divorced,No,No,Home,Yes
45.0,129543.0,145487.0,369.0,35.0,1.0,22.48,24.0,0.21,0.0,A0TZ2PMOKZ,Master's,Part-time,Divorced,Yes,Yes,Business,Yes
34.0,114984.0,113050.0,846.0,16.0,3.0,22.78,12.0,0.12,1.0,6RKVDMKOV7,High School,Self-employed,Married,No,Yes,Business,No
38.0,144549.0,87646.0,672.0,111.0,2.0,10.0,48.0,0.18,0.0,QFKTFOCW4T,PhD,Unemployed,Divorced,Yes,No,Other,No
27.0,34592.0,152505.0,508.0,43.0,1.0,11.7,60.0,0.85,1.0,1ZO5DHZ88H,High School,Full-time,Married,Yes,No,Education,Yes
34.0,53955.0,218628.0,386.0,81.0,2.0,9.78,48.0,0.21,0.0,FI9VJZ4XQ2,Bachelor's,Part-time,Single,No,No,Education,Yes
67.0,142975.0,31003.0,712.0,87.0,3.0,18.81,24.0,0.59,0.0,SC3P6QZ8GI,Master's,Self-employed,Divorced,Yes,Yes,Education,Yes
37.0,28618.0,74230.0,736.0,73.0,4.0,23.43,12.0,0.28,1.0,GCEIACESJC,Bachelor's,Self-employed,Divorced,No,No,Home,No
30.0,139998.0,43113.0,755.0,74.0,4.0,7.55,24.0,0.37,0.0,TVS1UYURII,Bachelor's,Full-time,Divorced,No,No,Other,Yes
40.0,36873.0,117133.0,753.0,102.0,1.0,18.1,48.0,0.66,0.0,C68JA3PL29,Bachelor's,Part-time,Single,No,Yes,Education,Yes
35.0,75069.0,64935.0,396.0,106.0,1.0,23.02,36.0,0.29,0.0,W3VUGLCNO8,PhD,Self-employed,Married,Yes,No,Education,Yes
63.0,33180.0,41739.0,435.0,115.0,1.0,9.53,60.0,0.51,0.0,PRRFX6VR70,High School,Full-time,Divorced,No,Yes,Home,No
62.0,16399.0,9229.0,797.0,63.0,1.0,14.81,36.0,0.83,0.0,FUDI8PQ2CJ,High School,Unemployed,Divorced,No,Yes,Auto,Yes
30.0,93762.0,153489.0,781.0,62.0,2.0,16.93,24.0,0.89,0.0,AWJ7PDOVQU,PhD,Unemployed,Married,Yes,Yes,Home,Yes
29.0,32872.0,245557.0,356.0,33.0,1.0,18.38,24.0,0.34,1.0,5VYS774D77,PhD,Self-employed,Married,Yes,No,Auto,Yes
60.0,48028.0,202571.0,521.0,21.0,3.0,19.38,60.0,0.15,0.0,3KS6MLP0DY,High School,Full-time,Divorced,No,Yes,Auto,Yes
68.0,98432.0,198036.0,455.0,76.0,4.0,8.04,48.0,0.32,0.0,EYSNXRAVO8,Bachelor's,Unemployed,Married,Yes,No,Education,No
22.0,98006.0,115290.0,816.0,95.0,4.0,6.55,12.0,0.53,0.0,WE4I3HAL6X,High School,Self-employed,Single,Yes,No,Education,No
19.0,142567.0,182357.0,547.0,78.0,3.0,6.47,60.0,0.15,0.0,UHQ07BGNIZ,PhD,Part-time,Divorced,No,Yes,Auto,Yes
65.0,145998.0,13329.0,601.0,2.0,1.0,16.94,12.0,0.65,0.0,7RX3M7BPHJ,PhD,Self-employed,Divorced,No,Yes,Home,No
67.0,95068.0,46076.0,504.0,60.0,2.0,10.29,60.0,0.65,0.0,NHIX9WJVOW,High School,Part-time,Divorced,No,Yes,Other,No
